FID,Key,SiteCode,Site,SiteLat,SiteLong,Country,Ecoregion,Realm,SurveyID,Depth,SurveyDate,Category,CategoryDescription,MajorCategory,NumPoints,TotalPoints,PercentCover,geom
M3_DATA.19963,19963,ETP77,Uva Sur,7.8,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003531,5,2007-03-20T13:00:00Z,Ecr,Encrusting corals,Coral,,,21.7284,POINT (-81.76 7.8)
M3_DATA.19966,19966,ETP151,Canal Afuera SE,7.69,-81.61,Panama,Nicoya,Tropical Eastern Pacific,507003532,6,2007-03-20T13:00:00Z,Pocil,Pocillopora,Coral,,,3.0864,POINT (-81.61 7.6899999999999995)
M3_DATA.19967,19967,ETP151,Canal Afuera SE,7.69,-81.61,Panama,Nicoya,Tropical Eastern Pacific,507003532,6,2007-03-20T13:00:00Z,Ecr,Encrusting corals,Coral,,,0.2469,POINT (-81.61 7.6899999999999995)
M3_DATA.19971,19971,ETP151,Canal Afuera SE,7.69,-81.61,Panama,Nicoya,Tropical Eastern Pacific,507003532,6,2007-03-20T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.3704,POINT (-81.61 7.6899999999999995)
M3_DATA.19972,19972,ETP151,Canal Afuera SE,7.69,-81.61,Panama,Nicoya,Tropical Eastern Pacific,507003532,6,2007-03-20T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.2469,POINT (-81.61 7.6899999999999995)
M3_DATA.19977,19977,ETP151,Canal Afuera SE,7.69,-81.61,Panama,Nicoya,Tropical Eastern Pacific,507003532,6,2007-03-20T13:00:00Z,Mas,Massive corals (Live),Coral,,,2.2222,POINT (-81.61 7.6899999999999995)
M3_DATA.19983,19983,ETP72,Brincanco N,7.87,-81.79,Panama,Nicoya,Tropical Eastern Pacific,507003533,6,2007-03-20T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.8642,POINT (-81.79 7.87)
M3_DATA.19986,19986,ETP72,Brincanco N,7.87,-81.79,Panama,Nicoya,Tropical Eastern Pacific,507003533,6,2007-03-20T13:00:00Z,Ecr,Encrusting corals,Coral,,,19.5062,POINT (-81.79 7.87)
M3_DATA.20017,20017,ETP100,El Arco,8.31,-79.1,Panama,Panama Bight,Tropical Eastern Pacific,507003224,3,2011-06-07T14:00:00Z,Mas,Massive corals (Live),Coral,,,6.2,POINT (-79.1 8.31)
M3_DATA.20022,20022,ETP101,Punta Santa Cruz,8.26,-79.07,Panama,Panama Bight,Tropical Eastern Pacific,507003225,9,2011-06-07T14:00:00Z,Mas,Massive corals (Live),Coral,,,0.2,POINT (-79.07 8.26)
M3_DATA.20030,20030,ETP101,Punta Santa Cruz,8.26,-79.07,Panama,Panama Bight,Tropical Eastern Pacific,507003225,9,2011-06-07T14:00:00Z,Soft,Soft corals and gorgonians,Coral,,,0.2,POINT (-79.07 8.26)
M3_DATA.20032,20032,ETP101,Punta Santa Cruz,8.26,-79.07,Panama,Panama Bight,Tropical Eastern Pacific,507003225,9,2011-06-07T14:00:00Z,Pocil,Pocillopora,Coral,,,9.6,POINT (-79.07 8.26)
